# Melhores coberturas conhecidas no mundo, e melhores limites inferiores
# já provados, para o covering design C(v,k,t).
#
# Fonte: La Jolla Covering Repository, D. M. Gordon.
#   https://github.com/dmgordo/LJCR
# Licença: Creative Commons Attribution 4.0 (CC BY 4.0).
#
# Gerado por ferramentas/atualizar-referencia.py — não editar à mão.
#
# v,k,t,melhor_conhecido,limite_publicado
22,17,5,11,10
22,17,6,17,16
22,17,7,22,22
22,17,8,40,33
22,18,2,3,3
22,18,3,4,4
22,18,4,5,5
22,18,5,7,7
22,18,6,10,10
22,18,7,15,14
22,18,8,20,20
22,19,2,3,3
22,19,3,4,4
22,19,4,5,5
22,19,5,6,6
22,19,6,7,7
22,19,7,10,10
22,19,8,14,14
22,20,2,3,3
22,20,3,4,4
22,20,4,5,5
22,20,5,6,6
22,20,6,7,7
22,20,7,8,8
22,20,8,9,9
22,21,2,3,3
22,21,3,4,4
22,21,4,5,5
22,21,5,6,6
22,21,6,7,7
22,21,7,8,8
22,21,8,9,9
23,3,2,85,85
23,4,2,46,46
23,4,3,466,466
23,5,2,28,28
23,5,3,187,180
23,5,4,1771,1771
23,6,2,21,20
23,6,3,104,104
23,6,4,716,625
23,6,5,6161,5938
23,7,2,16,15
23,7,3,65,63
23,7,4,253,253
23,7,5,1948,1771
23,7,6,16192,14421
23,8,2,12,12
23,8,3,40,38
23,8,4,193,156
23,8,5,755,670
23,8,6,4554,3922
23,8,7,38962,32511
23,9,2,10,10
23,9,3,32,29
23,9,4,107,92
23,9,5,455,338
23,9,6,2020,1350
23,9,7,11086,7253
23,9,8,71811,55323
23,10,2,8,8
23,10,3,24,21
23,10,4,74,63
23,10,5,241,182
23,10,6,1042,638
23,10,7,4014,2425
23,10,8,20266,12579
23,11,2,7,7
23,11,3,15,15
23,11,4,42,36
23,11,5,131,99
23,11,6,465,306
23,11,7,1750,893
23,11,8,5336,3526
23,12,2,6,6
23,12,3,14,13
23,12,4,31,27
23,12,5,81,62
23,12,6,240,163
23,12,7,703,437
23,12,8,2355,1331
23,13,2,5,5
23,13,3,11,11
23,13,4,25,20
23,13,5,54,43
23,13,6,123,89
23,13,7,320,202
23,13,8,851,560
23,14,2,4,4
23,14,3,10,9
23,14,4,20,15
23,14,5,42,32
23,14,6,91,56
23,14,7,191,119
23,14,8,426,245
23,15,2,4,4
23,15,3,7,7
23,15,4,15,13
23,15,5,29,23
23,15,6,56,37
23,15,7,110,62
23,15,8,202,126
23,16,2,3,3
23,16,3,6,6
23,16,4,11,10
23,16,5,20,16
23,16,6,38,26
23,16,7,74,45
23,16,8,142,77
23,17,2,3,3
23,17,3,5,5
23,17,4,8,8
23,17,5,13,13
23,17,6,22,18
23,17,7,35,28
23,17,8,60,44
23,18,2,3,3
23,18,3,4,4
23,18,4,6,6
23,18,5,10,10
23,18,6,16,15
23,18,7,22,21
23,18,8,35,29
23,19,2,3,3
23,19,3,4,4
23,19,4,5,5
23,19,5,7,7
23,19,6,10,10
23,19,7,14,14
23,19,8,19,18
23,20,2,3,3
23,20,3,4,4
23,20,4,5,5
23,20,5,6,6
23,20,6,7,7
23,20,7,9,9
23,20,8,13,13
23,21,2,3,3
23,21,3,4,4
23,21,4,5,5
23,21,5,6,6
23,21,6,7,7
23,21,7,8,8
23,21,8,9,9
23,22,2,3,3
23,22,3,4,4
23,22,4,5,5
23,22,5,6,6
23,22,6,7,7
23,22,7,8,8
23,22,8,9,9
24,3,2,96,96
24,4,2,48,48
24,4,3,510,510
24,5,2,30,30
24,5,3,231,222
24,5,4,2237,2237
24,6,2,22,21
24,6,3,116,112
24,6,4,784,720
24,6,5,7084,7084
24,7,2,17,17
24,7,3,76,69
24,7,4,357,357
24,7,5,2576,2143
24,7,6,22350,20359
24,8,2,12,12
24,8,3,50,45
24,8,4,226,189
24,8,5,759,759
24,8,6,6045,5313
24,8,7,48576,43263
24,9,2,11,11
24,9,3,35,32
24,9,4,122,102
24,9,5,601,416
24,9,6,2476,1787
24,9,7,12144,10459
24,9,8,110293,86696
24,10,2,8,8
24,10,3,24,24
24,10,4,87,70
24,10,5,285,221
24,10,6,1412,812
24,10,7,5495,3240
24,10,8,30030,17408
24,11,2,7,7
24,11,3,20,18
24,11,4,57,46
24,11,5,194,138
24,11,6,662,398
24,11,7,2633,1392
24,11,8,9296,5291
24,12,2,6,6
24,12,3,14,14
24,12,4,31,30
24,12,5,86,72
24,12,6,266,198
24,12,7,1012,612
24,12,8,3542,1786
24,13,2,6,6
24,13,3,13,12
24,13,4,28,24
24,13,5,66,50
24,13,6,171,115
24,13,7,523,301
24,13,8,1510,807
24,14,2,5,5
24,14,3,11,9
24,14,4,23,19
24,14,5,49,35
24,14,6,107,74
24,14,7,252,153
24,14,8,592,347
24,15,2,4,4
24,15,3,8,8
24,15,4,18,15
24,15,5,36,24
24,15,6,78,52
24,15,7,164,90
24,15,8,334,191
24,16,2,3,3
24,16,3,6,6
24,16,4,12,11
24,16,5,24,20
24,16,6,49,35
24,16,7,84,56
24,16,8,174,93
24,17,2,3,3
24,17,3,6,6
24,17,4,10,10
24,17,5,18,15
24,17,6,32,23
24,17,7,58,37
24,17,8,113,64
24,18,2,3,3
24,18,3,4,4
24,18,4,7,7
24,18,5,12,11
24,18,6,20,18
24,18,7,30,24
24,18,8,49,38
24,19,2,3,3
